restaurant_id,name
6195,Burbrit Craft Beer Sukhumvit 22
4178,Butcher Factory by Bangkok Butcher
4568,Butter Cafe & Ristorante Bangna
3570,Butter Steak Bistro
3851,By The Pool Restaurant & Pool Bar
6006,"CALI, Ascott Raffles Place "
6005,"CALI, Novotel Singapore on Kitchener "
5431,CHANAN Japanese Cuisine (Samut Sakhon)
2032,CHAR Restaurant at Hotel Indigo Bangkok (25th Floor)
1734,CHAR Rooftop Bar at Indigo Hotel Bangkok
4124,CHIN Yakiniku The Paseo Mall Lat Krabang
5181,CHOB Craft Beef & Beer 
5530,CIBO Bangkok 
6325,CLAWS & CO - Anantara Mai Khao Phuket Villas (Phuket)
6081,COAL Bake&Grill  
3026,COAL Bistro
2911,COCOA XO Bar at Red Sky 57th Floor
4617,COMMU Rooftop Cafe
4671,CQK MALA Hotpot Ekkamai-Thonglor
4154,CQK MALA Hotpot Samyan - Banthatthong
4155,CQK MALA Hotpot Seacon Square Srinagarindra
4156,CQK MALA Hotpot The Crystal Ekkamai-Ram Inthra
4157,CQK MALA Hotpot Thiam Ruam Mit-Huai Khwang
5601,CROW Craft & Cuisine 
4836,CUTTS Sathorn Omakase
5978,CUTTS Thonglor Omakase
5414,Caesa Delicious 
6212,Caesa Delicious Bang Bon 3
6766,Cafe Chef WAN IOI City Mall Putrajaya
6764,Cafe Chef WAN KL East Mall
6767,Cafe Chef WAN Setia City Mall
6768,Cafe Chef WAN TTDI
2872,Cafe Chilli Iconsiam
5358,Cafe Chilli One Bangkok
4517,Cafe Chilli QSNCC
997,Cafe Claire by Oriental Residence
6866,Cafe OSG - Zichar Tea Room + Wine Bar
6708,Cafe de Jasmine at Jasmine 59 Hotel (Thong Lor)
4333,Cafe de Salil La Petite Salil Sukhumvit Thonglor 1 
2907,Cafe22 by Courtyard by Marriott North Pattaya (Pattaya)
5005,CafeSlash 
2145,Cairo Bangkok
1448,Caishen Cafe (Kasetnawamin)
4687,Calm Kraam
3976,Calypso Cabaret
4294,Camin Cuisine & Cafe Ari
4291,Camin Cuisine & Cafe Central Rama 9
4290,Camin Cuisine & Cafe CentralWorld
4293,Camin Cuisine & Cafe Seacon Square Srinagarindra
4884,Canale House
763,Cantina Wine Bar & Italian Kitchen
6225,Canton Disco
4777,Caper by Dan Bark
4886,Carbonaro Pasta & Pizza
4564,Carmina Restaurant & Bar Sukhumvit Soi 20
5682,Casa Lapin Ratchathewi
5398,Casa Lapin Silom 13
5397,Casa Lapin Sukhumvit 20
4738,Casa Pasta
4485,Casa do Salil
6218,"Castaway Restaurant, Café & Pool Bar (Pattaya)"
6964,Caveman Barbeque (Rayong)
6530,Caviar Café by Nai Lert
3988,Celadon The Sukhothai Bangkok 
