restaurant name,cluster,theme,x,y,cluster_confidence,review_count
Yume and Mellow Izakaya,0,Bar & Alcoholic Drinks,6.8063602,1.653419,1.0,1
Yurijin Izakaya & Japanese Dining Ekkamai,0,Bar & Alcoholic Drinks,8.233328,-2.5256531,1.0,1
Yurijin Izakaya & Japanese Dining Ratchada,0,Bar & Alcoholic Drinks,7.5843506,-1.2583562,1.0,1
YuuPot Shabu and Grill  Wayra Ramkhamhaen,0,Bar & Alcoholic Drinks,7.2666516,-1.0454856,1.0,1
Yuufuku Japanese Food,0,Bar & Alcoholic Drinks,7.231768,-2.0708838,1.0,1
Yuzu Suki ゆずすき - ICONSIAM,0,Bar & Alcoholic Drinks,7.636287,-0.33338404,1.0,1
'@RICE Restaurant by At Rice Resort (Nakhon Nayok),1,Good food and atmosphere,1.5232128,-3.9130306,1.0,1
1897 Lounge at Siam Kempinski Hotel Bangkok,1,Good food and atmosphere,2.7906077,-4.4858356,1.0,1
4K Cafe by Cross Vibe Decem (Chiang Mai),1,Good food and atmosphere,2.060848,-2.8138003,1.0,1
A'LA Craft Kiri Vari (Nan),1,Good food and atmosphere,1.5344774,-3.5368671,1.0,1
All Day Fine,1,Good food and atmosphere,2.5771677,-3.8752475,1.0,1
Alpina Wine & Bistro,1,Good food and atmosphere,3.1757627,-4.741876,1.0,1
Area Five Café and Eatery,1,Good food and atmosphere,2.5980618,-4.366928,1.0,1
Audrey Cafe Thonglor Soi 11,1,Good food and atmosphere,0.95568085,-4.135196,1.0,1
Avalon Cafe & Restaurant (Phitsanulok),1,Good food and atmosphere,2.412787,-3.3702192,1.0,1
Ayutthaya Retreat (Ayutthaya),1,Good food and atmosphere,1.5288589,-2.6002183,1.0,1
BUCKS CAFE,1,Good food and atmosphere,1.3788533,-4.2281303,1.0,1
Bai Som farm&cafe,1,Good food and atmosphere,2.5649643,-4.7553306,1.0,1
Bake The Story (Phuket),1,Good food and atmosphere,3.2975092,-4.3445234,1.0,1
Bar Archive,1,Good food and atmosphere,2.7115493,-4.3293386,1.0,1
Beach Walk Cafe Bangsaen (Chonburi),1,Good food and atmosphere,3.1899035,-4.263253,1.0,1
Begin Again,1,Good food and atmosphere,2.3633409,-4.3455176,1.0,1
Bite Restaurant & Gallery (Phuket),1,Good food and atmosphere,1.2642752,-1.0993161,1.0,1
Blackheath Bistro,1,Good food and atmosphere,1.6378555,-4.7403865,1.0,1
Bond Street Bar Café,1,Good food and atmosphere,2.6321702,-3.611818,1.0,1
Brewave Kanchanapisek,1,Good food and atmosphere,0.5096109,-3.9541705,1.0,1
Brown Burgundy,1,Good food and atmosphere,1.1458416,-4.657616,1.0,1
Bua Terrace (Rayong),1,Good food and atmosphere,2.7734246,-3.7957873,1.0,1
Bubble in the Forest Cafe,1,Good food and atmosphere,1.2169867,-3.509693,1.0,1
Burbrit Craft Beer Phra Khanong,1,Good food and atmosphere,4.555361,-3.9354622,1.0,1
COMMU Rooftop Cafe,1,Good food and atmosphere,1.2498462,-4.029236,1.0,1
Cafe Chef WAN KL East Mall,1,Good food and atmosphere,0.6916125,-4.3776236,1.0,1
Cafe Claire by Oriental Residence,1,Good food and atmosphere,1.3405265,3.9912672,1.0,1
Cafe OSG - Zichar Tea Room + Wine Bar,1,Good food and atmosphere,0.4651008,-3.6096165,1.0,1
Cafe de Salil La Petite Salil Sukhumvit Thonglor 1,1,Good food and atmosphere,-0.39480662,-3.4671204,1.0,1
CafeSlash,1,Good food and atmosphere,1.7341475,-3.8872838,1.0,1
Calm Kraam,1,Good food and atmosphere,3.421268,-4.713321,1.0,1
Chaan G,1,Good food and atmosphere,3.0938005,-2.6099267,1.0,1
