input_string,found,official_name,city,country,formatted_address,rating,website,error
Apollo at Furama Riverfront Hotel,True,Apollo,Singapore,Singapore,"405 Havelock Rd, Level 3, Singapore 169633",5.0,https://www.furama.com/riverfront/dining/Apollo-Event-Space,
Waterfall Lounge at Furama Riverfront Hotel,True,Waterfall Lounge @ Furama RiverFront,Singapore,Singapore,"405 Havelock Rd, Level 1 Furama RiverFront, Singapore 169633",3.9,https://www.furama.com/riverfront/dining/waterfall-lounge,
Kintamani at Furama Riverfront Hotel,True,Kintamani Restaurant (Halal-Certified),Singapore,Singapore,"405 Havelock Rd, Level 3 Furama Riverfront, Singapore 169633",4.0,http://www.furama.com/riverfront/Dining/Kintamani-Indonesian-Restaurant,
Amò,True,Amò,Singapore,Singapore,"57 Tras St, Singapore 078996",4.0,,
Baia Rooftop Dining Lounge Bar,True,Baia,Singapore,Singapore,"8 Raffles Ave., Level 4 Esplanade Mall, Singapore 039802",4.5,https://www.baia.sg/,
Home Dusk: Live House,True,Home Dusk Live House @ Clarke Quay,Singapore,Singapore,"Blk 3A River Valley Rd, #02-03, Singapore 179020",4.8,http://www.homesingapore.sg/,
馥苑 Fu Yuan Teochew Dining,True,馥苑 Fu Yuan Teochew Dining Clarke Quay,Singapore,Singapore,"3A River Valley Rd, #01-01C/01D Clarke Quay, Singapore 179020",4.8,https://fuyuandining.sg/,
Korat Thai Cafe,True,Korat Thai Cafe,Singapore,Singapore,"400 Orchard Rd, #03-28 Orchard Tower, Singapore 238875",4.1,https://www.facebook.com/koratthaicafe/,
LIBI HOME,True,LIBI HOME (ลิบิโฮม),,Thailand,"เลขที่ 9 Soi Kasem San 2, Khwaeng Wang Mai, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.5,https://www.facebook.com/profile.php?id=61558996626949&mibextid=ZbWKwL,
Gogilang,True,Gogilang โกกิลัง 고기랑,,Thailand,"2030 Banthat Thong Rd, Khwaeng Wang Mai, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.8,https://www.instagram.com/gogilang.th?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,
Toni Toni-Eat Drink Workshop,True,Toni Toni-Eat Drink Workshop,Tambon Lak Hok,Thailand,"51/055 Tambon Lak Hok, เมือง Chang Wat Pathum Thani 12000, Thailand",4.9,https://www.facebook.com/profile.php?id=61566847509885,
KO-YA Yakiniku,True,KO-YA,,Thailand,"1, 1 Rama IX Rd, Khwaeng Suan Luang, Khet Suan Luang, Krung Thep Maha Nakhon 10250, Thailand",4.7,https://facebook.com/KoyaYakiniku,
Krua Khun Ein Rama 3,True,ครัวคุณอิ้น พระราม3,,Thailand,"ชั้น2 Int Intersect 982 Thanon Rama III, Khwaeng Bang Phong Phang, Khet Yan Nawa, Krung Thep Maha Nakhon 10120, Thailand",4.8,,
Krua Khun Ein Rama 9,False,,,,,,,No results found
Santi's Pizza & Produce,True,Santi's Pizza & Produce,Singapore,Singapore,"138 Telok Ayer St, Singapore 068603",4.1,http://santis.pizza/,
Tiffin Room at Raffles Hotel Singapore,True,Tiffin Room,Singapore,Singapore,"1 Beach Rd, Singapore 189673",4.4,https://www.tiffinroom.com.sg/?utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps,
Veganerie Concept,True,VEGANERIE Concept,,Thailand,"35 2 Sukhumvit Rd, Khwaeng Khlong Tan, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",4.5,https://www.veganerie.co.th/,
Yì by Jereme Leung at Raffles Hotel Singapore,True,Yì By Jereme Leung,Singapore,Singapore,"328 N Bridge Rd, #03-02 Raffles Arcade, Singapore 188719",4.5,https://www.yi-restaurant.com.sg/?utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps,
Veganerie Ratchathewi,True,VEGANERIE Ratchathewi,,Thailand,"744/2 Soi Phaya Nak, Khwaeng Thanon Phetchaburi, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand",4.5,https://www.veganerie.co.th/,
Butcher’s Block at Raffles Hotel Singapore ,True,Butcher's Block,Singapore,Singapore,"328 N Bridge Rd, #02-02 RAFFLES ARCADE, Singapore 188719",4.4,https://www.butchersblock.com.sg/?utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps,
Veganerie Silom,True,Veganerie Silom,,Thailand,"เลขที่ 651,653,655,657 661 บ้านสีลม ห้องเลขที่ A26 ชั้นที่ 01 663 Si Lom Rd, Si Lom, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand",4.5,,
Veganerie Lasalle,True,Veganerie Lasalle (ลาซาล),,Thailand,"803 Thanon Lasalle, Khwaeng Bang Na, Khet Bang Na, Krung Thep Maha Nakhon 10260, Thailand",4.7,http://www.veganerie.co.th/,
Raffles Courtyard at Raffles Hotel Singapore,True,Raffles Courtyard,Singapore,Singapore,"1 Beach Rd, Singapore 189673",4.2,https://www.raffles.com/singapore/dining/raffles-courtyard/?utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps,
